"customer_id";"customer_name";"email";"city";"state";"total_orders";"gross_spent";"net_spent";"first_order_date";"last_order_date";"customer_type"
33;"Deloris Burke";"deloris.burke@hotmail.com";"Palos Verdes Peninsula";"CA";3;20949.89;19043.9036;"2016-11-27";"2018-07-11";"Returning"
34;"Brittney Woodward";"brittney.woodward@aol.com";"East Northport";"NY";2;12816.94;11035.7581;"2017-10-16";"2018-04-14";"Returning"
35;"Guillermina Noble";"guillermina.noble@msn.com";"Baldwinsville";"NY";2;24779.86;22061.0729;"2018-03-31";"2018-04-02";"Returning"
36;"Bernita Mcdaniel";"bernita.mcdaniel@hotmail.com";"Liverpool";"NY";2;6399.94;6079.943;"2016-07-07";"2018-04-15";"Returning"
37;"Melia Brady";"melia.brady@gmail.com";"Maspeth";"NY";2;17156.91;14011.8265;"2017-12-11";"2018-04-12";"Returning"
38;"Zelma Browning";"zelma.browning@aol.com";"Astoria";"NY";2;23397.92;21535.6665;"2017-02-16";"2018-04-12";"Returning"
39;"Janetta Aguirre";"janetta.aguirre@aol.com";"Lancaster";"NY";2;19143.88;17783.4874;"2017-12-31";"2018-04-17";"Returning"
40;"Ronna Butler";"ronna.butler@gmail.com";"Encino";"CA";3;18768.85;17240.5623;"2016-12-09";"2018-04-27";"Returning"
41;"Kathie Freeman";"kathie.freeman@msn.com";"Queensbury";"NY";2;4413.92;3962.0287;"2017-10-01";"2018-04-04";"Returning"
42;"Tangela Quinn";"tangela.quinn@aol.com";"Richmond Hill";"NY";2;10138.91;9205.1175;"2017-08-19";"2018-04-20";"Returning"
43;"Mozelle Carter";"mozelle.carter@aol.com";"Houston";"TX";3;25382.84;23049.057;"2016-04-03";"2018-04-29";"Returning"
44;"Onita Johns";"onita.johns@msn.com";"Elmont";"NY";2;2569.93;2270.5392;"2017-11-18";"2018-04-25";"Returning"
45;"Bennett Armstrong";"bennett.armstrong@aol.com";"Bethpage";"NY";2;3912.94;3347.648;"2017-04-07";"2018-04-28";"Returning"
46;"Monika Berg";"monika.berg@gmail.com";"Encino";"CA";3;9589.9;8902.5066;"2016-03-20";"2018-04-21";"Returning"
47;"Bridgette Guerra";"bridgette.guerra@hotmail.com";"San Lorenzo";"CA";3;19539.84;16935.6408;"2017-05-20";"2018-04-11";"Returning"
48;"Cesar Jackson";"cesar.jackson@gmail.com";"Liverpool";"NY";2;13459.9;11705.852;"2017-10-23";"2018-04-23";"Returning"
49;"Caroll Hays";"caroll.hays@yahoo.com";"Fairport";"NY";2;1963.97;1571.176;"2017-02-28";"2018-04-29";"Returning"
50;"Cleotilde Booth";"cleotilde.booth@gmail.com";"Sugar Land";"TX";3;17848.91;16179.1167;"2016-02-11";"2018-04-12";"Returning"
51;"Gertrud Rhodes";"gertrud.rhodes@aol.com";"Merrick";"NY";2;8368.95;7000.058;"2016-05-13";"2018-04-02";"Returning"
52;"Tu Ramirez";"tu.ramirez@hotmail.com";"East Elmhurst";"NY";2;6931.94;6467.6551;"2017-09-08";"2018-04-06";"Returning"
53;"Saturnina Garner";"saturnina.garner@gmail.com";"Glendora";"CA";3;16138.87;14068.2366;"2016-08-22";"2018-07-12";"Returning"
54;"Fran Yang";"fran.yang@hotmail.com";"Utica";"NY";2;18567.94;17225.4439;"2016-10-22";"2018-04-22";"Returning"
55;"Diana Guerra";"diana.guerra@hotmail.com";"Merrick";"NY";2;4673.91;4183.6207;"2016-03-28";"2018-04-30";"Returning"
56;"Lolita Mosley";"lolita.mosley@hotmail.com";"Houston";"TX";3;7179.94;6680.4439;"2017-03-15";"2018-04-28";"Returning"
57;"Pamala Henry";"pamala.henry@aol.com";"Bronx";"NY";2;8239.93;6981.9401;"2016-01-19";"2018-04-20";"Returning"
58;"Damien Dorsey";"damien.dorsey@yahoo.com";"Central Islip";"NY";2;24686.84;21514.4615;"2017-02-05";"2018-04-16";"Returning"
59;"Latasha Stanley";"latasha.stanley@gmail.com";"Rockville Centre";"NY";2;15419.89;13854.6016;"2016-06-25";"2018-04-12";"Returning"
60;"Neil Mccall";"neil.mccall@gmail.com";"San Carlos";"CA";2;11149.92;9919.3294;"2016-01-05";"2018-04-21";"Returning"
61;"Elinore Aguilar";"elinore.aguilar@msn.com";"San Angelo";"TX";3;29661.83;25636.4531;"2016-08-23";"2018-04-10";"Returning"
62;"Alica Hunter";"alica.hunter@hotmail.com";"East Elmhurst";"NY";2;4568.94;4122.1454;"2016-11-06";"2018-04-01";"Returning"
63;"Tenisha Lyons";"tenisha.lyons@aol.com";"Amityville";"NY";2;21941.86;20086.3708;"2018-02-12";"2018-04-19";"Returning"
64;"Bobbie Foster";"bobbie.foster@yahoo.com";"Desoto";"TX";3;9491.89;8778.1311;"2016-11-12";"2018-04-04";"Returning"
65;"Kanesha Vega";"kanesha.vega@gmail.com";"Rome";"NY";2;11978.93;11151.6045;"2016-05-27";"2018-04-20";"Returning"
66;"Lorrie Becker";"lorrie.becker@yahoo.com";"Garland";"TX";3;25940.88;23026.2923;"2016-06-01";"2018-04-11";"Returning"
67;"Tommie Melton";"tommie.melton@gmail.com";"Sacramento";"CA";2;1609.97;1472.4725;"2016-09-08";"2018-04-17";"Returning"
68;"Jayne Kirkland";"jayne.kirkland@hotmail.com";"Rowlett";"TX";3;11842.92;10802.6294;"2017-06-02";"2018-04-09";"Returning"
69;"Katelin Kennedy";"katelin.kennedy@gmail.com";"Rocklin";"CA";2;9259.92;7568.931;"2017-09-18";"2018-04-05";"Returning"
70;"Tomasa Carson";"tomasa.carson@aol.com";"East Elmhurst";"NY";2;18709.93;16338.9384;"2017-08-04";"2018-04-17";"Returning"
71;"Takako Casey";"takako.casey@aol.com";"Bronx";"NY";2;2012.98;1855.3325;"2018-01-22";"2018-04-28";"Returning"
72;"Petronila Norris";"petronila.norris@aol.com";"South El Monte";"CA";2;14837.93;13914.3345;"2016-09-05";"2018-04-21";"Returning"
73;"Melanie Hayes";"melanie.hayes@msn.com";"Liverpool";"NY";2;34390.88;31913.6902;"2017-06-11";"2018-04-17";"Returning"
74;"Georgeann Waller";"georgeann.waller@yahoo.com";"North Tonawanda";"NY";2;4459.97;4036.972;"2016-09-28";"2018-04-30";"Returning"
75;"Abby Gamble";"abby.gamble@aol.com";"Amityville";"NY";2;37500.89;32803.0062;"2017-12-27";"2018-04-08";"Returning"
76;"Parker Prince";"parker.prince@hotmail.com";"Port Jefferson Station";"NY";2;8209.86;7168.4778;"2016-03-29";"2018-04-16";"Returning"
77;"Keri Bridges";"keri.bridges@gmail.com";"Richardson";"TX";3;9139.95;8522.9542;"2016-09-01";"2018-04-20";"Returning"
78;"Chi Goff";"chi.goff@aol.com";"Palos Verdes Peninsula";"CA";2;3709.96;3441.2631;"2017-03-28";"2018-04-12";"Returning"
79;"Ashanti Parks";"ashanti.parks@hotmail.com";"Baldwin";"NY";2;17641.86;16025.0715;"2017-02-09";"2018-04-15";"Returning"
80;"Sarai Mckee";"sarai.mckee@msn.com";"Buffalo";"NY";2;10715.93;9563.3381;"2016-01-22";"2018-04-22";"Returning"
81;"Zina Bonner";"zina.bonner@hotmail.com";"San Lorenzo";"CA";2;6159.93;5660.9369;"2017-01-29";"2018-04-06";"Returning"
82;"Lizzie Joyner";"lizzie.joyner@msn.com";"Coachella";"CA";2;21997.88;18995.0137;"2017-06-19";"2018-04-04";"Returning"
83;"Tiesha Daniel";"tiesha.daniel@yahoo.com";"Scarsdale";"NY";2;8487.9;7793.1507;"2016-07-21";"2018-04-06";"Returning"
84;"Armand Whitehead";"armand.whitehead@hotmail.com";"Lindenhurst";"NY";2;7748.94;7154.5445;"2016-03-19";"2018-04-02";"Returning"
85;"Teofila Fischer";"teofila.fischer@aol.com";"Huntington Station";"NY";2;25772.86;23195.0754;"2017-12-04";"2018-04-08";"Returning"
86;"Lissa Vargas";"lissa.vargas@yahoo.com";"Oswego";"NY";2;14938.88;12551.997;"2016-03-18";"2018-04-05";"Returning"
87;"Yan Mcgowan";"yan.mcgowan@msn.com";"Duarte";"CA";2;14460.91;13546.9484;"2017-03-03";"2018-04-10";"Returning"
88;"Titus Bullock";"titus.bullock@gmail.com";"Hollis";"NY";2;11000.94;9805.2464;"2016-09-04";"2018-04-20";"Returning"
89;"Arvilla Osborn";"arvilla.osborn@gmail.com";"Upland";"CA";2;11985.95;10805.3354;"2017-11-05";"2018-04-21";"Returning"
90;"Marjorie Logan";"marjorie.logan@msn.com";"Franklin Square";"NY";2;9840.94;8956.785;"2016-11-19";"2018-04-29";"Returning"
91;"Marvin Mullins";"marvin.mullins@aol.com";"San Diego";"CA";2;20830.92;18856.877;"2016-01-06";"2018-04-17";"Returning"
92;"Tena Cruz";"tena.cruz@yahoo.com";"Farmingdale";"NY";2;3278.93;3037.1355;"2018-01-28";"2018-04-08";"Returning"
93;"Corrina Sawyer";"corrina.sawyer@yahoo.com";"Troy";"NY";2;29214.89;25612.7021;"2017-06-09";"2018-04-23";"Returning"
94;"Sharyn Hopkins";"sharyn.hopkins@hotmail.com";"Baldwinsville";"NY";2;37138.86;34807.9392;"2016-01-04";"2018-04-01";"Returning"
95;"Letitia Franco";"letitia.franco@aol.com";"Saratoga Springs";"NY";1;13169.95;12433.4557;"2017-03-29";"2017-03-29";"One Time"
96;"Floretta Higgins";"floretta.higgins@hotmail.com";"Bayside";"NY";1;9097.98;7681.124;"2016-12-10";"2016-12-10";"One Time"
97;"Louanne Martin";"louanne.martin@hotmail.com";"Yuba City";"CA";2;6899.95;6450.9529;"2017-05-01";"2018-04-11";"Returning"
98;"Violet Valenzuela";"violet.valenzuela@msn.com";"Plattsburgh";"NY";1;3079.96;2546.4665;"2016-04-23";"2016-04-23";"One Time"
99;"Carie Kidd";"carie.kidd@yahoo.com";"Monroe";"NY";1;6290.94;5431.8955;"2016-04-10";"2016-04-10";"One Time"
100;"Kellie Franco";"kellie.franco@yahoo.com";"Commack";"NY";1;5999.98;5399.982;"2018-02-25";"2018-02-25";"One Time"
101;"Nichelle Howell";"nichelle.howell@aol.com";"Scarsdale";"NY";1;1479.96;1405.962;"2016-09-21";"2016-09-21";"One Time"
102;"Marisol Goodman";"marisol.goodman@gmail.com";"Canandaigua";"NY";1;3397.99;3121.132;"2016-12-06";"2016-12-06";"One Time"
103;"Sylvie Wilkerson";"sylvie.wilkerson@yahoo.com";"Syosset";"NY";1;3397.99;2718.392;"2016-08-30";"2016-08-30";"One Time"
104;"Katharina Bates";"katharina.bates@gmail.com";"Campbell";"CA";2;13443.9;11776.4101;"2016-11-13";"2018-04-24";"Returning"
105;"Marget Hodge";"marget.hodge@msn.com";"Woodhaven";"NY";1;13782.93;12461.5479;"2016-05-05";"2016-05-05";"One Time"
106;"Raul Melendez";"raul.melendez@hotmail.com";"Elmhurst";"NY";1;3019.96;2770.963;"2017-08-17";"2017-08-17";"One Time"
107;"Cecil Hopper";"cecil.hopper@yahoo.com";"Central Islip";"NY";1;7397.97;6961.0917;"2016-06-06";"2016-06-06";"One Time"
108;"Shae Hickman";"shae.hickman@hotmail.com";"Floral Park";"NY";1;19263.95;18281.4729;"2017-12-14";"2017-12-14";"One Time"
109;"Monica Sears";"monica.sears@aol.com";"San Jose";"CA";2;19739.89;17193.9034;"2018-03-01";"2018-04-26";"Returning"
110;"Ollie Zimmerman";"ollie.zimmerman@yahoo.com";"Anaheim";"CA";2;5802.93;5371.338;"2017-11-18";"2018-04-13";"Returning"
111;"Shila White";"shila.white@msn.com";"Orchard Park";"NY";1;6641.97;6177.7725;"2016-10-21";"2016-10-21";"One Time"
112;"Yuk Vega";"yuk.vega@yahoo.com";"West Hempstead";"NY";1;8597.94;7952.0464;"2018-03-30";"2018-03-30";"One Time"
113;"Eliana Silva";"eliana.silva@gmail.com";"Farmingdale";"NY";1;4815.94;4236.3466;"2017-11-24";"2017-11-24";"One Time"
114;"Thalia Horne";"thalia.horne@yahoo.com";"Amityville";"NY";1;909.98;727.984;"2018-03-29";"2018-03-29";"One Time"
115;"Rey Lindsay";"rey.lindsay@gmail.com";"Monroe";"NY";1;9519.94;8327.9477;"2018-01-28";"2018-01-28";"One Time"
116;"Merlene Vinson";"merlene.vinson@gmail.com";"Euless";"TX";3;14090.87;12793.6337;"2016-10-28";"2018-04-15";"Returning"
117;"Dacia William";"dacia.william@msn.com";"Sugar Land";"TX";2;2619.95;2371.4545;"2016-04-04";"2016-04-11";"Returning"
118;"Le Wood";"le.wood@yahoo.com";"Pittsford";"NY";1;4421.96;3974.6254;"2016-12-21";"2016-12-21";"One Time"
119;"Thalia Dillard";"thalia.dillard@yahoo.com";"San Angelo";"TX";2;17709.92;16764.1256;"2017-02-28";"2018-07-10";"Returning"
120;"Luz House";"luz.house@gmail.com";"Fresno";"CA";2;10307.9;9425.1668;"2017-05-24";"2018-04-06";"Returning"
121;"Lucy Woods";"lucy.woods@gmail.com";"Palos Verdes Peninsula";"CA";2;3897.98;3589.122;"2016-04-16";"2018-04-19";"Returning"
122;"Shena Carter";"shena.carter@yahoo.com";"Howard Beach";"NY";1;27618.95;24890.6244;"2018-01-25";"2018-01-25";"One Time"
123;"Robena Hill";"robena.hill@hotmail.com";"Corpus Christi";"TX";2;16075.89;13783.7813;"2017-12-01";"2018-07-01";"Returning"
124;"Jeni Booker";"jeni.booker@gmail.com";"South El Monte";"CA";2;6889.93;6235.5381;"2017-02-28";"2018-04-23";"Returning"
125;"Herlinda Stone";"herlinda.stone@msn.com";"Canandaigua";"NY";1;7599.96;7067.9628;"2017-07-23";"2017-07-23";"One Time"
126;"Lavina Dejesus";"lavina.dejesus@msn.com";"Newburgh";"NY";1;10939.92;10314.9248;"2018-03-07";"2018-03-07";"One Time"
127;"Erlinda Nielsen";"erlinda.nielsen@aol.com";"Maspeth";"NY";1;7299.96;6034.9654;"2016-04-30";"2016-04-30";"One Time"
128;"Terrance Lynn";"terrance.lynn@yahoo.com";"Plattsburgh";"NY";1;7939.96;7536.1622;"2017-12-04";"2017-12-04";"One Time"
129;"Walton Dejesus";"walton.dejesus@yahoo.com";"Lockport";"NY";1;3169.98;3011.481;"2017-06-11";"2017-06-11";"One Time"
130;"Wes Stanton";"wes.stanton@msn.com";"Troy";"NY";1;529.99;423.992;"2016-12-25";"2016-12-25";"One Time"
131;"Tanesha Hampton";"tanesha.hampton@hotmail.com";"Syosset";"NY";1;2538.99;2335.5207;"2016-12-21";"2016-12-21";"One Time"
132;"Boyd Irwin";"boyd.irwin@hotmail.com";"Hamburg";"NY";1;3541.96;3271.8135;"2016-08-16";"2016-08-16";"One Time"
133;"Delbert Wilkins";"delbert.wilkins@aol.com";"Coram";"NY";1;4219.97;3810.823;"2016-06-25";"2016-06-25";"One Time"
134;"Brianna Moss";"brianna.moss@msn.com";"Hempstead";"NY";1;4490.97;3751.874;"2016-04-19";"2016-04-19";"One Time"
135;"Dorthey Jackson";"dorthey.jackson@msn.com";"Houston";"TX";2;13323.91;12026.9409;"2017-03-09";"2018-11-28";"Returning"
136;"Sarita Parks";"sarita.parks@msn.com";"Forney";"TX";2;17327.9;15314.0132;"2018-01-14";"2018-12-28";"Returning"
137;"Shonta Mercer";"shonta.mercer@aol.com";"Massapequa";"NY";1;761.99;723.8905;"2017-03-01";"2017-03-01";"One Time"
138;"Jone Bernard";"jone.bernard@hotmail.com";"Anaheim";"CA";2;13313.86;12010.4969;"2017-06-14";"2018-04-27";"Returning"
139;"Wanita Davenport";"wanita.davenport@aol.com";"Spring Valley";"NY";1;2899.97;2319.976;"2018-03-22";"2018-03-22";"One Time"
140;"Cleopatra Tate";"cleopatra.tate@aol.com";"East Elmhurst";"NY";1;14239.91;12909.9214;"2017-08-12";"2017-08-12";"One Time"
141;"Ramiro Byers";"ramiro.byers@gmail.com";"Saint Albans";"NY";1;470.99;376.792;"2017-03-09";"2017-03-09";"One Time"
142;"Nicholas Vazquez";"nicholas.vazquez@hotmail.com";"West Hempstead";"NY";1;5499.99;5224.9905;"2017-06-16";"2017-06-16";"One Time"
143;"Janae Doyle";"janae.doyle@gmail.com";"Jackson Heights";"NY";1;4303.96;3920.663;"2017-09-11";"2017-09-11";"One Time"
144;"Hans Price";"hans.price@hotmail.com";"Port Chester";"NY";1;269.99;256.4905;"2016-08-26";"2016-08-26";"One Time"
145;"Miquel Neal";"miquel.neal@hotmail.com";"Staten Island";"NY";1;9167.97;8696.072;"2016-06-01";"2016-06-01";"One Time"
146;"Stefany Potter";"stefany.potter@gmail.com";"Saratoga Springs";"NY";1;7017.96;6183.5624;"2018-02-16";"2018-02-16";"One Time"
147;"Bernetta Marquez";"bernetta.marquez@hotmail.com";"Smithtown";"NY";1;11099.97;10322.9721;"2017-02-26";"2017-02-26";"One Time"
148;"Julee Woodard";"julee.woodard@yahoo.com";"Richmond Hill";"NY";1;1369.97;1260.973;"2016-10-11";"2016-10-11";"One Time"
149;"Meredith Bryan";"meredith.bryan@hotmail.com";"Spring Valley";"NY";1;8939.96;8474.1624;"2016-09-17";"2016-09-17";"One Time"
150;"Weldon Michael";"weldon.michael@hotmail.com";"Huntington";"NY";1;4219.98;3840.882;"2016-06-01";"2016-06-01";"One Time"
151;"Joesph Delacruz";"joesph.delacruz@aol.com";"Atwater";"CA";2;7499.92;6863.6268;"2016-02-06";"2018-04-06";"Returning"
152;"Katherina Odom";"katherina.odom@yahoo.com";"Plainview";"NY";1;4388.97;3643.544;"2018-03-26";"2018-03-26";"One Time"
153;"Laraine Robbins";"laraine.robbins@yahoo.com";"San Angelo";"TX";2;18706.88;17068.4922;"2016-09-10";"2017-04-01";"Returning"
154;"Jenise Preston";"jenise.preston@yahoo.com";"Helotes";"TX";1;939.98;751.984;"2017-03-23";"2017-03-23";"One Time"
155;"Lory Page";"lory.page@hotmail.com";"Bay Shore";"NY";1;4569.97;4214.9734;"2016-10-19";"2016-10-19";"One Time"
156;"Charlyn Cantrell";"charlyn.cantrell@yahoo.com";"West Islip";"NY";1;5167.98;4534.383;"2016-07-11";"2016-07-11";"One Time"
157;"Carola Rodriquez";"carola.rodriquez@hotmail.com";"Banning";"CA";2;19879.89;17861.1996;"2016-05-17";"2018-04-26";"Returning"
158;"Alane Kennedy";"alane.kennedy@yahoo.com";"Spring Valley";"NY";1;1479.96;1395.1624;"2016-06-29";"2016-06-29";"One Time"
159;"Regina Burns";"regina.burns@aol.com";"Garland";"TX";1;11799.93;11013.9345;"2016-06-22";"2016-06-22";"One Time"
160;"Omer Estrada";"omer.estrada@gmail.com";"Rowlett";"TX";1;8469.97;7975.973;"2016-11-27";"2016-11-27";"One Time"
161;"Crystle Gilliam";"crystle.gilliam@yahoo.com";"Smithtown";"NY";1;4717.98;4296.1815;"2017-07-29";"2017-07-29";"One Time"
162;"Kam Wilder";"kam.wilder@hotmail.com";"Newburgh";"NY";1;4830.94;4094.8481;"2017-04-25";"2017-04-25";"One Time"
163;"Margert Stevens";"margert.stevens@aol.com";"Rome";"NY";1;5401.93;4851.1372;"2016-12-27";"2016-12-27";"One Time"
164;"Tomika Larson";"tomika.larson@yahoo.com";"Woodside";"NY";1;1199.98;1139.981;"2016-01-25";"2016-01-25";"One Time"
165;"Jeromy Burch";"jeromy.burch@msn.com";"San Jose";"CA";2;12989.89;11907.9041;"2017-11-29";"2018-04-27";"Returning"
166;"Lena Mills";"lena.mills@yahoo.com";"Woodhaven";"NY";1;939.98;751.984;"2017-03-01";"2017-03-01";"One Time"
167;"Loreta Johnston";"loreta.johnston@yahoo.com";"Spring Valley";"NY";1;15053.91;14172.2185;"2017-06-14";"2017-06-14";"One Time"
168;"Nettie Mcdaniel";"nettie.mcdaniel@hotmail.com";"South Ozone Park";"NY";1;4517.94;3801.6487;"2017-07-20";"2017-07-20";"One Time"
169;"Karla Kirk";"karla.kirk@yahoo.com";"Palos Verdes Peninsula";"CA";2;15597.95;13678.357;"2016-09-12";"2018-04-17";"Returning"
170;"Regine Gonzales";"regine.gonzales@gmail.com";"Oxnard";"CA";2;15980.92;13801.2997;"2016-03-26";"2018-04-17";"Returning"
171;"Miriam Baker";"miriam.baker@hotmail.com";"Uniondale";"NY";1;4088.92;3723.8275;"2017-05-15";"2017-05-15";"One Time"
172;"Jeanie Kirkland";"jeanie.kirkland@aol.com";"Santa Clara";"CA";2;17911.93;15841.0992;"2017-07-02";"2018-04-18";"Returning"
173;"Marquerite Dawson";"marquerite.dawson@gmail.com";"Garland";"TX";1;8892.92;8072.331;"2017-02-13";"2017-02-13";"One Time"
174;"Babara Ochoa";"babara.ochoa@aol.com";"Scarsdale";"NY";1;3119.98;2963.981;"2017-07-19";"2017-07-19";"One Time"
175;"Nova Hess";"nova.hess@msn.com";"Duarte";"CA";2;13859.92;13023.926;"2016-01-03";"2018-04-11";"Returning"
176;"Carley Reynolds";"carley.reynolds@gmail.com";"South El Monte";"CA";2;7802.9;6829.7092;"2016-08-23";"2018-04-26";"Returning"
177;"Carissa Foreman";"carissa.foreman@msn.com";"Maspeth";"NY";1;189.99;170.991;"2017-04-22";"2017-04-22";"One Time"
178;"Genoveva Tyler";"genoveva.tyler@gmail.com";"New York";"NY";1;4901.95;4125.5565;"2016-11-24";"2016-11-24";"One Time"
179;"Deane Sears";"deane.sears@hotmail.com";"Pittsford";"NY";1;6265.96;5887.3424;"2017-05-22";"2017-05-22";"One Time"
180;"Karey Steele";"karey.steele@gmail.com";"Farmingdale";"NY";1;3098.0;2478.4;"2018-03-31";"2018-03-31";"One Time"
181;"Olevia Pitts";"olevia.pitts@gmail.com";"Redondo Beach";"CA";2;8999.95;8273.9559;"2016-06-23";"2018-04-03";"Returning"
182;"Jenniffer Bullock";"jenniffer.bullock@msn.com";"Bay Shore";"NY";1;19361.93;17746.5951;"2017-08-15";"2017-08-15";"One Time"
183;"Jeniffer Ratliff";"jeniffer.ratliff@gmail.com";"Floral Park";"NY";1;1320.99;1254.9405;"2016-04-22";"2016-04-22";"One Time"
184;"Klara Stanley";"klara.stanley@aol.com";"Webster";"NY";1;18428.96;16436.065;"2017-02-27";"2017-02-27";"One Time"
185;"Morton Lee";"morton.lee@yahoo.com";"San Angelo";"TX";1;3463.97;3290.7715;"2017-08-07";"2017-08-07";"One Time"
186;"Ken Charles";"ken.charles@msn.com";"Monsey";"NY";1;10909.95;9833.6547;"2017-10-17";"2017-10-17";"One Time"
187;"Hedwig Paul";"hedwig.paul@msn.com";"Apple Valley";"CA";2;14461.92;13611.6259;"2016-08-09";"2018-04-16";"Returning"
188;"Sharla Flynn";"sharla.flynn@hotmail.com";"Oxnard";"CA";2;2100.97;1729.775;"2017-05-26";"2018-04-25";"Returning"
189;"Damian Dawson";"damian.dawson@hotmail.com";"Liverpool";"NY";1;2265.97;2069.3725;"2017-08-11";"2017-08-11";"One Time"
190;"Toya Pratt";"toya.pratt@yahoo.com";"Long Beach";"NY";1;2212.94;2082.1435;"2017-01-11";"2017-01-11";"One Time"
191;"Graciela Barber";"graciela.barber@hotmail.com";"Oxnard";"CA";2;2849.92;2593.1289;"2016-10-09";"2018-04-24";"Returning"
192;"Bong Hebert";"bong.hebert@gmail.com";"Torrance";"CA";2;16028.91;14208.3881;"2017-10-19";"2018-04-21";"Returning"
