customer_name,city,state,total_orders,total_spent
"Ashlee Pena",Whitestone,NY,1,17305.9384
"Ronna Butler",Encino,CA,3,17240.5623
"Fran Yang",Utica,NY,2,17225.4439
"Monica Sears","San Jose",CA,2,17193.9034
"Tobie Little",Victoria,TX,3,17123.9975
"Sheryl Chase","Floral Park",NY,1,17086.9343
"Laraine Robbins","San Angelo",TX,2,17068.4922
"Ayanna Cherry",Smithtown,NY,1,16950.0770
"Bridgette Guerra","San Lorenzo",CA,3,16935.6408
"Laure Pena","Wappingers Falls",NY,1,16890.1469
"Alejandro Haney",Wantagh,NY,1,16846.9540
"Thalia Dillard","San Angelo",TX,2,16764.1256
"Lizzette Stein","Orchard Park",NY,3,16739.9958
"Adelle Larsen","East Northport",NY,2,16651.0484
"Wynona Douglas",Harlingen,TX,1,16491.5200
"Klara Stanley",Webster,NY,1,16436.0650
"Tomasa Carson","East Elmhurst",NY,2,16338.9384
"Cleotilde Booth","Sugar Land",TX,3,16179.1167
"Ashanti Parks",Baldwin,NY,2,16025.0715
"Samual Warner",Brentwood,NY,1,15876.4261
"Jeanie Kirkland","Santa Clara",CA,2,15841.0992
"Garry Espinoza",Forney,TX,3,15766.7006
"Consuela Collier","North Tonawanda",NY,1,15455.6250
"Delmar Wise",Lockport,NY,1,15439.9468
"Elnora Simpson",Bellmore,NY,1,15416.1565
"Sarita Parks",Forney,TX,2,15314.0132
"Parthenia Holman",Ithaca,NY,1,15205.9284
"Gilbert Calhoun","East Elmhurst",NY,1,15097.9060
"Kimberely Bowen",Troy,NY,1,15087.2644
"Addie Hahn","Franklin Square",NY,1,14935.0311
"Georgetta Hardin",Canandaigua,NY,3,14877.2890
"Lashawn Ortiz",Longview,TX,3,14774.4583
"Candelaria Coffey",Merrick,NY,1,14735.4152
"Alissa Hood","New Windsor",NY,1,14567.1570
"Desmond Rose","Mount Vernon",NY,1,14566.4345
"Regenia Vaughan",Mahopac,NY,2,14529.2583
"Dortha Jarvis",Oceanside,NY,1,14405.0464
"Jana Thomas","San Jose",CA,1,14397.1379
"Earlean Pena",Rome,NY,1,14249.6462
"Bong Hebert",Torrance,CA,2,14208.3881
"Corene Wall",Atwater,CA,3,14199.9558
"Loreta Johnston","Spring Valley",NY,1,14172.2185
"Lorraine Marks","San Carlos",CA,1,14141.3394
"Saturnina Garner",Glendora,CA,3,14068.2366
"Melia Brady",Maspeth,NY,2,14011.8265
"Monty Frost",Hempstead,NY,1,13947.5449
"Petronila Norris","South El Monte",CA,2,13914.3345
"Latasha Stanley","Rockville Centre",NY,2,13854.6016
"Dorothea Chang",Astoria,NY,1,13821.5310
"Regine Gonzales",Oxnard,CA,2,13801.2997
"Robena Hill","Corpus Christi",TX,2,13783.7813
"Sophia Mcmillan",Uniondale,NY,1,13773.6277
"Tammy Austin","Lake Jackson",TX,1,13765.5468
"Karla Kirk","Palos Verdes Peninsula",CA,2,13678.3570
"Hedwig Paul","Apple Valley",CA,2,13611.6259
"Yan Mcgowan",Duarte,CA,2,13546.9484
"Alina Mcleod",Patchogue,NY,1,13287.5262
"Marlo Jefferson","Niagara Falls",NY,1,13242.9620
"Frederica Rojas",Ithaca,NY,1,13191.9384
"Reatha Perez",Holbrook,NY,1,13130.8288
"Gilberte Duke","El Paso",TX,1,13107.4410
"Kiana Rivera","Richmond Hill",NY,1,13033.5961
"Nova Hess",Duarte,CA,2,13023.9260
"Lee Dunn","San Jose",CA,1,12980.9387
"Dorthea Walker","Port Washington",NY,1,12965.7468
"Gilberto Parsons","Middle Village",NY,1,12935.9494
"Cleopatra Tate","East Elmhurst",NY,1,12909.9214
"Bernardina Cooper",Whitestone,NY,1,12867.9580
"Jenee Rasmussen",Sacramento,CA,2,12861.8789
"Merlene Vinson",Euless,TX,3,12793.6337
"Olimpia Mays","Oakland Gardens",NY,1,12774.2451
"Somer Jordan","Huntington Station",NY,1,12663.9560
"Mila Moody",Troy,NY,1,12595.0730
"Lissa Vargas",Oswego,NY,2,12551.9970
"Collene Knox","Corpus Christi",TX,1,12541.7634
"Marget Hodge",Woodhaven,NY,1,12461.5479
"Letitia Franco","Saratoga Springs",NY,1,12433.4557
"Luke Kramer",Bethpage,NY,1,12420.7130
"Cori Schwartz",Jamaica,NY,1,12400.8480
"Ira Erickson","Port Jefferson Station",NY,1,12392.9547
"Todd Waters","Bay Shore",NY,1,12381.8274
"Minerva Decker",Houston,TX,1,12369.6265
"Ardelia Cooley","Canyon Country",CA,1,12334.9570
"Dorine Roberson","Santa Cruz",CA,2,12320.1207
"Novella Ross",Glendora,CA,1,12307.9627
"Yevette Elliott","Jackson Heights",NY,1,12104.7860
"Hae Ramirez",Baldwinsville,NY,1,12089.9814
"Dorthey Jackson",Houston,TX,2,12026.9409
"Jone Bernard",Anaheim,CA,2,12010.4969
"Chantell Bridges",Buffalo,NY,1,11993.9720
"Syreeta Hendricks",Mahopac,NY,2,11979.9467
"Sheba Knapp",Woodside,NY,1,11972.9271
"Janie Herrera",Elmhurst,NY,1,11950.4766
"Jeromy Burch","San Jose",CA,2,11907.9041
"Merideth Preston",Poughkeepsie,NY,1,11832.4539
"Margret Barnett",Forney,TX,1,11831.3359
"Terra Pickett",Amsterdam,NY,1,11787.5533
"Katharina Bates",Campbell,CA,2,11776.4101
"Cesar Jackson",Liverpool,NY,2,11705.8520
"Lashawna Richardson",Baldwin,NY,1,11596.4289
"Erlinda Humphrey","New Windsor",NY,1,11588.6474
"Lashandra Turner","Long Beach",NY,1,11578.6544
"Deloris Larson",Duarte,CA,1,11479.5394
"Pinkie Kirkland","San Angelo",TX,1,11476.5364
"Moses Pope",Lawndale,CA,2,11471.8954
"Efren Oliver",Nanuet,NY,1,11463.9580
"Christoper Mccall","Bay Shore",NY,1,11462.5954
"Kallie Best",Rochester,NY,1,11428.6530
"Lanita Burton",Coachella,CA,1,11406.4285
"Yan Trevino",Uniondale,NY,1,11391.4300
"Gwendolyn Miller",Harlingen,TX,1,11349.9574
"Ouida Gregory",Merrick,NY,1,11314.0730
"Shanice Spears",Brooklyn,NY,1,11299.9720
"Dollie Cervantes","Fort Worth",TX,1,11238.6544
"Tena Huber",Newburgh,NY,1,11183.0434
"Yvone Guerrero",Merrick,NY,1,11183.0335
"Kanesha Vega",Rome,NY,2,11151.6045
"Phebe Turner",Sunnyside,NY,1,11120.3254
"Aleta Shepard","Sugar Land",TX,3,11102.4700
"Alyse Jacobson","Massapequa Park",NY,1,11062.4171
"Danny Kim","South Ozone Park",NY,1,11055.9410
"Eliana Reese",Woodhaven,NY,1,11035.8480
"Brittney Woodward","East Northport",NY,2,11035.7581
"Regina Burns",Garland,TX,1,11013.9345
"Celestine Kent",Lancaster,NY,1,10998.0295
"Trinidad Mcclain",Baldwin,NY,1,10986.9040
"Ivelisse Nixon",Houston,TX,1,10951.5614
"Edythe Valencia","North Tonawanda",NY,1,10949.9468
"Delila Hamilton","Palos Verdes Peninsula",CA,1,10869.9637
"Elouise Fry","Canyon Country",CA,1,10866.9622
"Arvilla Osborn",Upland,CA,2,10805.3354
"Jayne Kirkland",Rowlett,TX,3,10802.6294
"Felicidad Golden",Lockport,NY,1,10794.3537
"Carita Salinas",Maspeth,NY,1,10792.2470
"Coleen Navarro",Webster,NY,1,10728.4385
"Santos Valencia",Sunnyside,NY,2,10719.0988
"Leanna Manning",Hicksville,NY,1,10620.0449
"Tereasa Bird",Ronkonkoma,NY,1,10617.9730
"Shirely Stanley","El Paso",TX,1,10574.9624
"Muriel Juarez","Palos Verdes Peninsula",CA,1,10570.4719
"Emmaline Huber","Mount Vernon",NY,1,10563.6480
"Hubert Stone",Ridgecrest,CA,1,10541.9632
"Rosalva Hamilton",Campbell,CA,1,10529.9630
"Lezlie Lamb","Central Islip",NY,1,10372.0934
"Ernest Rollins","Oakland Gardens",NY,1,10360.2550
"Jamaal Albert",Torrance,CA,3,10355.3908
"Jasmin Young",Helotes,TX,1,10336.9624
"Bernetta Marquez",Smithtown,NY,1,10322.9721
"Lavina Dejesus",Newburgh,NY,1,10314.9248
"Flossie Holder","Massapequa Park",NY,1,10269.8557
"Jerlene Rios",Plainview,NY,1,10266.9542
"Johnathan Velazquez",Pleasanton,CA,1,10231.0464
"Veronique Fulton","Ballston Spa",NY,1,10216.2360
"Larae Carney",Sunnyside,NY,1,10187.9451
"Felica Munoz","South Ozone Park",NY,1,10186.6285
"Felice Guzman","Canyon Country",CA,2,10156.8968
"Veronika Rollins",Webster,NY,1,10132.3624
"Mellisa Griffin","Los Banos",CA,1,10050.6281
"Aron Wiggins",Oceanside,NY,1,10047.4245
"Le Deleon",Banning,CA,2,9959.0962
"Deanne Parsons",Lindenhurst,NY,1,9942.1400
"Justa Thompson",Corona,NY,1,9927.5559
"Letisha May","North Tonawanda",NY,1,9927.2049
"Florrie Little","New Rochelle",NY,1,9919.9210
"Neil Mccall","San Carlos",CA,2,9919.3294
"Catarina Mendez","West Islip",NY,1,9908.4642
"Rico Salas",Centereach,NY,1,9874.6525
"Vashti Rosario",Bronx,NY,1,9865.4727
"Erna Sloan","Howard Beach",NY,1,9849.0740
"Iola Rasmussen",Monroe,NY,1,9838.4455
"Ken Charles",Monsey,NY,1,9833.6547
"Titus Bullock",Hollis,NY,2,9805.2464
"Mi Gray",Albany,NY,1,9728.9827
"Harold O'connor","Santa Cruz",CA,1,9725.8374
"Marguerite Berger",Fullerton,CA,1,9712.9515
"Lidia Ashley",Baldwinsville,NY,1,9704.9449
"Octavia Case","New York",NY,1,9673.8444
"Benito Hendrix",Depew,NY,1,9645.3834
"Linnie Branch",Plattsburgh,NY,3,9586.8018
"Sarai Mckee",Buffalo,NY,2,9563.3381
"Fannie Jenkins",Oxnard,CA,1,9532.3529
"Theo Reese","Long Beach",NY,2,9514.0705
"Marilyn Frank","Port Chester",NY,1,9499.9810
"Adelaida Hancock","San Pablo",CA,1,9497.1720
"Katia Henry",Bethpage,NY,1,9479.9557
"Jennie Middleton",Upland,CA,1,9474.9404
"Luz House",Fresno,CA,2,9425.1668
"Basilia Thornton",Brentwood,NY,1,9408.7878
"Tonisha Fowler","Huntington Station",NY,1,9399.9650
"Barrett Sanders",Longview,TX,1,9385.1020
"Nita Guy","Port Chester",NY,1,9372.3701
"Macie Ayers",Bellmore,NY,1,9334.5094
"Justina Long","South El Monte",CA,1,9327.7380
"James Robles","North Tonawanda",NY,1,9314.8357
"Rikki Morrow","Fort Worth",TX,1,9301.9304
"Trena Hudson",Monroe,NY,1,9287.9439
"Kami Rios",Encino,CA,1,9278.6539
"Donette Mccarthy","Redondo Beach",CA,1,9274.9654
"Chelsey Hardin","Deer Park",NY,1,9211.5230
"Tomika Wilder","New Hyde Park",NY,1,9210.7184
"Tangela Quinn","Richmond Hill",NY,2,9205.1175
"Jamaal Morrison","Staten Island",NY,1,9173.3817
"Randolph Chase","San Lorenzo",CA,1,9163.4289
"Corinna Adams",Rosedale,NY,1,9161.9460
"Yanira Bradshaw",Smithtown,NY,1,9157.7560
"Buford Gilbert",Bellmore,NY,1,9044.9270
"Lavona Austin",Utica,NY,1,8975.1570
"Marjorie Logan","Franklin Square",NY,2,8956.7850
"Caridad Compton","San Lorenzo",CA,1,8945.7500
"Stan Saunders",Canandaigua,NY,1,8936.4460
"Monika Berg",Encino,CA,3,8902.5066
"Kasie Rodriquez","Ballston Spa",NY,1,8879.4529
"Letty Cobb",Depew,NY,1,8820.1505
"Christel Barber",Sacramento,CA,1,8816.9544
"Tonja Bean",Fairport,NY,1,8787.1297
"Bobbie Foster",Desoto,TX,3,8778.1311
"Euna Lopez",Carmel,NY,1,8763.9644
"Bettie Glover",Euless,TX,1,8740.9660
"Ilona Spears","Port Jefferson Station",NY,1,8712.8466
"Miquel Neal","Staten Island",NY,1,8696.0720
"Leonore Dorsey","Jackson Heights",NY,1,8696.0720
"Eleni Gordon","Richmond Hill",NY,1,8587.3970
"Brittni Green","Floral Park",NY,1,8570.9665
"Deja Chaney",Jamaica,NY,1,8561.2627
"Eli Contreras",Ronkonkoma,NY,1,8550.0527
"Omega Huff","Santa Monica",CA,1,8534.3743
"Keri Bridges",Richardson,TX,3,8522.9542
"Margorie Wynn",Monsey,NY,1,8498.4630
"Corrinne Garrison",Victoria,TX,1,8481.8980
"Rozanne Reyes","Garden City",NY,1,8476.5220
"Meredith Bryan","Spring Valley",NY,1,8474.1624
"Santa Larson","Valley Stream",NY,1,8445.9545
"Stephaine Riddle",Brooklyn,NY,1,8429.9454
"Juliane Dillard",Glendora,CA,1,8394.4714
"Bettie Pierce",Farmingdale,NY,1,8392.9437
"Christiane Bradford","Orchard Park",NY,1,8376.9244
"Irving Pitts",Torrance,CA,1,8359.2160
"Salena Day","San Lorenzo",CA,1,8342.9390
"Minnie Compton","South Richmond Hill",NY,1,8336.4169
"Rey Lindsay",Monroe,NY,1,8327.9477
"Dwain Carlson",Smithtown,NY,1,8309.4449
"Regine Odom","Franklin Square",NY,1,8303.3719
"Gena Owens",Desoto,TX,1,8299.9650
"Rodolfo Buck",Shirley,NY,1,8280.5430
"Olevia Pitts","Redondo Beach",CA,2,8273.9559
"Rudolph Velez","Mount Vernon",NY,1,8263.8670
"Vince Schneider",Merrick,NY,1,8204.5302
"Casimira Chapman",Monroe,NY,1,8200.7267
"Cris Dunn",Pittsford,NY,1,8177.0541
"Kara Higgins",Ossining,NY,1,8127.9469
"Gertha Mejia",Flushing,NY,1,8109.9505
"Aimee Merritt",Flushing,NY,1,8096.4455
"Vallie Dixon",Rowlett,TX,1,8083.9627
"Marquerite Dawson",Garland,TX,1,8072.3310
"Merrie Fowler",Scarsdale,NY,1,8069.6565
"Brigida Larson","Canyon Country",CA,1,8062.1245
"Shu Mays",Astoria,NY,1,8056.7680
"Tommie Cooley",Lancaster,NY,1,8011.3120
"Lenore Valdez","Spring Valley",NY,1,8009.0321
"Ester Acevedo","San Lorenzo",CA,1,7999.9840
"Ocie Slater",Hamburg,NY,1,7999.9630
"Arline Lawson",Hempstead,NY,1,7995.8047
"Edgar Quinn",Harlingen,TX,1,7993.8650
"Melodie Melton",Smithtown,NY,1,7984.9390
"Omer Estrada",Rowlett,TX,1,7975.9730
"Cecilia Camacho",Desoto,TX,1,7971.2261
"Latashia Travis",Upland,CA,1,7967.4144
"Yuk Vega","West Hempstead",NY,1,7952.0464
"Alishia Elliott","Mount Vernon",NY,1,7951.1468
"Ja Dillard","Canyon Country",CA,1,7947.4420
"Jenine Dawson",Endicott,NY,1,7938.9374
"Clorinda Donovan",Jamestown,NY,1,7932.9465
"Viva Dawson","Orchard Park",NY,1,7918.8446
"Farrah Orr","New Hyde Park",NY,1,7900.4347
"Kasha Sullivan",Scarsdale,NY,1,7855.2405
"Omega Johnston","Canyon Country",CA,1,7848.2628
"Vonda Berger","Santa Clara",CA,1,7824.0401
"Courtney Wyatt","Garden City",NY,1,7823.9440
"Tiesha Daniel",Scarsdale,NY,2,7793.1507
"Odette Moses",Newburgh,NY,1,7791.0557
"Janine Manning","Howard Beach",NY,1,7783.4219
"Tajuana Rollins",Oswego,NY,1,7782.8730
"Carson Macias","New Rochelle",NY,1,7747.7390
"Dannette Guerrero","San Pablo",CA,1,7719.9570
"Nevada Hood","Hopewell Junction",NY,1,7688.2721
"Floretta Higgins",Bayside,NY,1,7681.1240
"Zora Ford",Sacramento,CA,1,7663.9490
"Julianne Shannon","Sugar Land",TX,1,7659.3381
"Brittney Rojas",Kingston,NY,1,7601.1547
"Magali Dixon",Troy,NY,1,7587.5154
"Malisa Mitchell","Mount Vernon",NY,1,7575.3454
"Katelin Kennedy",Rocklin,CA,2,7568.9310
"Ellena Clements","Santa Monica",CA,1,7568.0544
"Terrance Lynn",Plattsburgh,NY,1,7536.1622
"Barton Crosby",Bellmore,NY,1,7526.0367
"Barbra Dickerson",Ridgecrest,CA,1,7520.0371
"Barbera Riggs",Plainview,NY,1,7486.3314
"Cinda Rocha","Los Banos",CA,1,7482.1364
"Lorrie Pollard",Ronkonkoma,NY,1,7439.9814
"Rona Rojas","San Jose",CA,1,7439.9814
"Mazie Fernandez",Webster,NY,1,7394.9644
"Myron Ruiz",Amityville,NY,1,7350.4645
"Gabriela Warren","Long Beach",NY,1,7345.7374
"Caleb England",Pleasanton,CA,1,7339.4195
"Chantay Maynard",Elmhurst,NY,1,7327.0401
"Diane Jones","Fresh Meadows",NY,1,7256.7738
"Kermit Bowman","El Paso",TX,1,7253.6195
"Shery Randolph",Ontario,CA,1,7251.9655
"Trinity Riddle","Ballston Spa",NY,1,7211.7234
"Virgen Clemons","South El Monte",CA,1,7184.9724
"Ricki Bullock",Woodside,NY,1,7183.3227
"Tonda Armstrong",Sunnyside,NY,1,7179.9832
"Rochell Cantrell","Port Jefferson Station",NY,1,7176.2149
"Parker Prince","Port Jefferson Station",NY,2,7168.4778
"Karole Alvarez","East Northport",NY,1,7159.9557
"Carmelina Sellers",Ithaca,NY,1,7157.3531
"Armand Whitehead",Lindenhurst,NY,2,7154.5445
"Latasha Hays",Buffalo,NY,3,7147.1629
"Rutha Howell","Canyon Country",CA,1,7143.6644
"Herminia Reyes",Centereach,NY,1,7139.9540
"Milagros Weber",Harlingen,TX,1,7130.5405
"Elma Molina","New Rochelle",NY,1,7111.0354
"Lucas Estes","Santa Monica",CA,1,7105.7751
"Keturah Reid","Corpus Christi",TX,1,7091.9367
"Herlinda Stone",Canandaigua,NY,1,7067.9628
"Jesus Burch",Desoto,TX,1,7063.4639
"Tempie Jacobson",Smithtown,NY,1,7049.6730
"Joeann Garrison",Ontario,CA,1,7045.1564
"Sherie Ayala","South El Monte",CA,1,7042.6724
"Stacie Sims",Oakland,CA,1,7040.8464
"Leigh Burke",Schenectady,NY,1,7022.9624
"Renna Williams","South Ozone Park",NY,1,7021.1487
"Zoraida Patton","Huntington Station",NY,1,7004.8410
"Gertrud Rhodes",Merrick,NY,2,7000.0580
"Cassie Cline",Brooklyn,NY,1,6987.2487
"Pamala Henry",Bronx,NY,2,6981.9401
"Elvia Cardenas",Massapequa,NY,1,6978.7151
"Celestine Jacobs",Massapequa,NY,1,6971.5537
"Cecil Hopper","Central Islip",NY,1,6961.0917
"Jayson Rutledge","Lake Jackson",TX,1,6947.9474
"Elaina Key",Plainview,NY,1,6929.1049
"Mable Pratt",Coachella,CA,1,6912.1715
"Casey Gill","Port Washington",NY,1,6902.4650
"Hue May","Valley Stream",NY,1,6887.1357
"Javier Nichols",Rowlett,TX,1,6872.9437
"Lavette Wright",Ronkonkoma,NY,1,6866.9384
"Joesph Delacruz",Atwater,CA,2,6863.6268
"Lynwood Jackson",Longview,TX,1,6843.9442
"Carley Reynolds","South El Monte",CA,2,6829.7092
"Kellye Campbell",Baldwinsville,NY,1,6829.5310
"Nichelle Rosario","Garden City",NY,1,6824.9724
"Hortencia Graham",Euless,TX,1,6815.9474
"Wilda Petersen",Jamaica,NY,1,6813.7535
"Yu Mcdonald",Ossining,NY,1,6804.9580
"Deirdre Ryan",Utica,NY,1,6803.9719
"Bethany Herring","Port Jefferson Station",NY,1,6794.0820
"Siobhan Lang",Levittown,NY,1,6793.9655
"Chere Mcfadden","Orchard Park",NY,1,6784.9567
"Londa Gould","Corpus Christi",TX,1,6782.3368
"Charlene Norris",Syosset,NY,1,6764.5727
"Sharie Whitaker",Merrick,NY,1,6762.1399
"Vito Pickett",Canandaigua,NY,1,6754.9376
"Tressa Weiss",Ossining,NY,1,6749.9734
"Lavonne Anderson","Floral Park",NY,1,6744.7740
"Marjory Leonard","Apple Valley",CA,1,6723.0765
"Elmira Levy","Spring Valley",NY,1,6718.5542
"Stefani Gamble","New City",NY,1,6715.4340
"Josephine Dale",Baldwinsville,NY,1,6712.8464
"Cicely Deleon","Massapequa Park",NY,1,6701.4550
"Lolita Mosley",Houston,TX,3,6680.4439
"Lucio Sherman",Smithtown,NY,1,6672.2947
"Mina Carrillo",Uniondale,NY,1,6671.6012
"Kristofer Craig",Plainview,NY,1,6659.9627
"Dottie Roberts","Port Washington",NY,1,6654.4734
"Blanca Hooper","Ozone Park",NY,1,6602.9505
"Lashunda Cole",Monsey,NY,1,6591.9760
"Collene Roman","Wappingers Falls",NY,1,6578.9654
"Kaley Blanchard","Palos Verdes Peninsula",CA,1,6578.9291
"Octavia Donaldson",Levittown,NY,1,6543.0622
"Latoya Johns","Ballston Spa",NY,1,6530.9119
"Yvone Yates","San Pablo",CA,1,6515.9550
"Kate Barber","Saratoga Springs",NY,1,6495.9720
"Vikki Erickson",Kingston,NY,1,6489.5650
"Arcelia Vinson","West Islip",NY,1,6479.9440
"Ann Heath","South El Monte",CA,1,6468.2263
"Tu Ramirez","East Elmhurst",NY,2,6467.6551
"Adriene Rivera",Encino,CA,1,6462.4635
"Louanne Martin","Yuba City",CA,2,6450.9529
"Van Peters",Houston,TX,1,6448.2907
"Anisha Lang",Rome,NY,1,6416.5944
"Coleman Boyd","El Paso",TX,1,6412.5547
"Matilda Larson",Harlingen,TX,1,6397.4717
"Damian Mills","Long Beach",NY,1,6396.9647
"Oliva Blackwell",Elmhurst,NY,1,6382.9455
"Verda Gilbert","East Northport",NY,1,6349.3635
"Ivette Warren","Franklin Square",NY,1,6335.6637
"Chelsey Boyd",Euless,TX,1,6332.9424
"Shiloh Bates",Monsey,NY,1,6330.5747
"Ji Burt","Apple Valley",CA,1,6319.9460
"Drucilla Gilliam","Santa Clara",CA,1,6265.9550
"Dionne Norris","Niagara Falls",NY,1,6261.9574
"Joaquin Hawkins",Anaheim,CA,1,6259.2650
"Norine Huffman",Encino,CA,1,6240.5540
"Mercy Brown",Hollis,NY,1,6239.2787
"Tammie Cherry",Massapequa,NY,1,6239.0936
"Jeni Booker","South El Monte",CA,2,6235.5381
"Hilda Harvey","Ballston Spa",NY,1,6229.1214
"Moira Lester","Jackson Heights",NY,1,6196.6444
"Jewel Sparks","Oakland Gardens",NY,1,6187.1539
"Stefany Potter","Saratoga Springs",NY,1,6183.5624
"Shila White","Orchard Park",NY,1,6177.7725
"Raymonde Garcia",Queensbury,NY,1,6169.9630
"Buford Bridges",Troy,NY,1,6155.9644
"Lois Steele",Ossining,NY,1,6152.6533
"Alisia Albert",Garland,TX,1,6150.9367
"Tiny French",Plainview,NY,1,6102.9630
"Shona Mcmillan","Apple Valley",CA,1,6089.9830
"Annett Rush",Rosedale,NY,1,6089.9304
"Bernita Mcdaniel",Liverpool,NY,2,6079.9430
"Vicki Wiggins","Wappingers Falls",NY,1,6074.0482
"Shantae Hammond",Victoria,TX,1,6068.9490
"Erlinda Nielsen",Maspeth,NY,1,6034.9654
"Daisy Ward",Pomona,CA,1,6023.9545
"Jeromy Elliott","Bay Shore",NY,1,5989.9650
"Ruthanne Hoover",Torrance,CA,1,5989.9367
"Delma Bailey",Anaheim,CA,1,5984.9810
"Shara Pope",Ridgecrest,CA,1,5959.0657
"Aaron Knapp",Yonkers,NY,1,5927.5510
"Josef Greer",Jamaica,NY,1,5925.5601
"Conrad Mueller",Massapequa,NY,1,5925.4747
"Laurel Schultz","Mount Vernon",NY,1,5923.9551
"Trista Lambert",Fairport,NY,1,5922.4725
"Danille Mcfarland",Rocklin,CA,1,5909.6148
"Oralia Farley",Upland,CA,1,5893.5550
"Rosamaria Meyer",Webster,NY,1,5893.5494
"Karren Stevenson","San Carlos",CA,1,5891.1624
"Deane Sears",Pittsford,NY,1,5887.3424
"Nicolas Carlson","Saint Albans",NY,1,5863.4454
"Conchita Boone","Mount Vernon",NY,1,5851.9257
"Adam Thornton","Central Islip",NY,1,5841.5215
"Tuyet Rosa","South El Monte",CA,1,5841.0992
"Mellie Puckett","Fresh Meadows",NY,1,5835.8580
"Valeri Marshall","East Meadow",NY,1,5834.1357
"Emanuel Mckee",Schenectady,NY,1,5833.9747
"Allison Nolan","New City",NY,1,5809.4774
"Nenita Mooney",Lawndale,CA,1,5806.0375
"Shonta Preston",Utica,NY,1,5801.9340
"Leone Emerson",Whitestone,NY,1,5779.8175
"Katherin Clark",Pittsford,NY,1,5777.7667
"Tora Dunlap",Monsey,NY,1,5775.5447
"Effie Jenkins",Brentwood,NY,1,5768.2144
"Karl Stephens","Rockville Centre",NY,1,5745.9552
"Trang Hardin",Depew,NY,1,5732.4652
"Reena Higgins","Canyon Country",CA,1,5728.9344
"Sherril Alvarado",Desoto,TX,1,5723.7441
"Sharie Alvarez","New York",NY,1,5716.5960
"Hollis Rasmussen",Massapequa,NY,1,5709.9555
"Josh Shaw","Hopewell Junction",NY,1,5701.1054
"Ling Newman","South Richmond Hill",NY,1,5699.9810
"Shenna Espinoza",Queensbury,NY,1,5699.9810
"Phuong Wolf",Schenectady,NY,1,5686.5815
"Rayna Perry","Ozone Park",NY,1,5672.2810
"Randee Pitts","Canyon Country",CA,1,5671.1307
"Zina Bonner","San Lorenzo",CA,2,5660.9369
"Denis Logan",Ridgecrest,CA,2,5651.0267
"Shantel Gregory","West Islip",NY,1,5644.9152
"Bettye Espinoza",Oswego,NY,1,5627.9570
"Lanora Robbins","West Babylon",NY,1,5600.0574
"Maira Long",Hicksville,NY,1,5588.5185
"Larissa Hays",Elmont,NY,1,5588.3444
